"타임스탬프","1. 귀하의 성별은 무엇입니까?","2. 귀하의 연령대는 어떻게 되십니까?","3. 귀하의 거주 지역은 어디입니까?","4. 현재 OTT 서비스(넷플릭스, 티빙, 디즈니플러스 등)를 구독하고 있으신가요?","5. 최근 3개월 이내 멀티플렉스 극장(CGV·메가박스·롯데시네마)을 방문한 경험이 있습니까?","6. 있다면, 최근 3달간 평균 몇 회 방문하셨습니까?","7. 극장 방문 시 주로 누구와 함께 가시나요?","8. 극장을 가지 않게 되는 주된 이유는 무엇입니까?","9. 방문 의향에 영향을 미치는 요인 [현재 멀티플렉스 티켓 가격(10000~15000원)은 적절하다]","9. 방문 의향에 영향을 미치는 요인 [할인 혜택(카드·멤버십·통신사 등)이 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [팝콘 등 극장 내 식음료 가격이 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [집에서 멀티플렉스 극장까지의 거리가 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [주변에서 이용 가능한 극장이 줄어든 것을 체감하고 있다]","9. 방문 의향에 영향을 미치는 요인 [대형 스크린과 고품질 음향은  방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [좌석 편안함(리클라이너·단차 등)이 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [4DX·ScreenX 등 특수 상영관이 방문 의향을 높인다]","9. 방문 의향에 영향을 미치는 요인 [보고 싶은 영화가 있을 때 반드시 극장을 찾게 된다]","9. 방문 의향에 영향을 미치는 요인 [OTT보다 먼저 볼 수 있다는 점(개봉 시기 차이)이 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [시사회·무대인사·GV(감독·배우 대화) 등의 이벤트가 방문 의향을 높인다]","9. 방문 의향에 영향을 미치는 요인 [한정판 굿즈·포토카드 등 특전 제공이 방문 의향에 영향을 미친다]","9. 방문 의향에 영향을 미치는 요인 [극장 방문은 단순 영화 시청 외에 '외출·나들이' 로서 의미가 있다]","9. 방문 의향에 영향을 미치는 요인 [혼자서도 극장을 방문하는 것에 거부감이 없다]","9. 방문 의향에 영향을 미치는 요인 [앞으로 6개월 이내에 멀티플렉스 극장을 방문할 의향이 있다]","10. 극장이 개선되어야 할 부분 중 가장 중요하다고 생각하는 것은 무엇입니까?",""
"2026/06/02 3:12:25 오후 GMT+9","여성","20대","경기/인천","2개 이상 구독","없다(7번 문항으로)","","혼자;연인;친구;가족","집에서 OTT로 편리하게 볼 수 있어서;극장까지 이동이 번거로워서","그렇지 않다","보통이다","전혀 그렇지 않다","보통이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","티켓 가격 인하 또는 할인 혜택 강화;독점·선공개 콘텐츠 확대",""
"2026/06/02 3:15:38 오후 GMT+9","남성","20대","경기/인천","구독 안 함","있다(다음 질문으로)","2~3회","연인","상영중인 영화 중 보고 싶은 영화가 없어서","그렇지 않다","매우 그렇다","매우 그렇다","그렇다","전혀 그렇지 않다","그렇지 않다","그렇지 않다","매우 그렇다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","보통이다","티켓 가격 인하 또는 할인 혜택 강화;접근성 개선 (더 많은 극장 운영, 교통 편의)",""
"2026/06/02 3:20:02 오후 GMT+9","남성","20대","경기/인천","1개 구독","있다(다음 질문으로)","1회","연인;친구","티켓 가격이 부담스러워서;집에서 OTT로 편리하게 볼 수 있어서","그렇다","보통이다","그렇다","전혀 그렇지 않다","보통이다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇다","보통이다","매우 그렇다","보통이다","그렇지 않다","티켓 가격 인하 또는 할인 혜택 강화;독점·선공개 콘텐츠 확대",""
"2026/06/02 3:20:45 오후 GMT+9","남성","20대","서울","2개 이상 구독","있다(다음 질문으로)","2~3회","연인;친구","티켓 가격이 부담스러워서;집에서 OTT로 편리하게 볼 수 있어서;극장까지 이동이 번거로워서;함께 갈 사람이 없어서;주변에 극장이 없거나 줄어들어서;상영중인 영화 중 보고 싶은 영화가 없어서","그렇다","보통이다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","보통이다","그렇다","매우 그렇다","그렇다","보통이다","티켓 가격 인하 또는 할인 혜택 강화;이벤트·특별 상영 프로그램 강화",""
"2026/06/02 3:21:55 오후 GMT+9","남성","20대","서울","구독 안 함","없다(7번 문항으로)","","연인","상영중인 영화 중 보고 싶은 영화가 없어서","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","독점·선공개 콘텐츠 확대",""
"2026/06/02 3:22:50 오후 GMT+9","남성","20대","경기/인천","1개 구독","있다(다음 질문으로)","2~3회","연인;친구","티켓 가격이 부담스러워서;집에서 OTT로 편리하게 볼 수 있어서;함께 갈 사람이 없어서","그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇다","매우 그렇다","매우 그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","티켓 가격 인하 또는 할인 혜택 강화;접근성 개선 (더 많은 극장 운영, 교통 편의)",""
"2026/06/02 3:23:55 오후 GMT+9","여성","20대","경기/인천","2개 이상 구독","있다(다음 질문으로)","1회","가족","극장까지 이동이 번거로워서","보통이다","보통이다","매우 그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","전혀 그렇지 않다","그렇다","그렇다","전혀 그렇지 않다","매우 그렇다","보통이다","시설 고급화 (좌석·음향·스크린 등);이벤트·특별 상영 프로그램 강화;식음료 가격 합리화",""
"2026/06/02 4:24:53 오후 GMT+9","남성","20대","경기/인천","구독 안 함","있다(다음 질문으로)","2~3회","혼자;연인","함께 갈 사람이 없어서","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","그렇다","그렇다","전혀 그렇지 않다","보통이다","전혀 그렇지 않다","그렇지 않다","매우 그렇다","그렇다","티켓 가격 인하 또는 할인 혜택 강화;시설 고급화 (좌석·음향·스크린 등);식음료 가격 합리화",""
"2026/06/02 4:26:33 오후 GMT+9","남성","20대","경기/인천","1개 구독","있다(다음 질문으로)","2~3회","친구;가족","함께 갈 사람이 없어서;상영중인 영화 중 보고 싶은 영화가 없어서","보통이다","보통이다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","전혀 그렇지 않다","그렇지 않다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇다","그렇지 않다","그렇다","독점·선공개 콘텐츠 확대",""
"2026/06/02 6:12:19 오후 GMT+9","여성","50대 이상","경기/인천","구독 안 함","없다(7번 문항으로)","","가족","상영중인 영화 중 보고 싶은 영화가 없어서","전혀 그렇지 않다","그렇다","전혀 그렇지 않다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","전혀 그렇지 않다","전혀 그렇지 않다","티켓 가격 인하 또는 할인 혜택 강화",""
"2026/06/02 6:14:49 오후 GMT+9","남성","30대","서울","1개 구독","있다(다음 질문으로)","1회","친구","집에서 OTT로 편리하게 볼 수 있어서","그렇다","전혀 그렇지 않다","그렇다","그렇다","그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","매우 그렇다","그렇다","그렇다","전혀 그렇지 않다","그렇다","보통이다","보통이다","티켓 가격 인하 또는 할인 혜택 강화;접근성 개선 (더 많은 극장 운영, 교통 편의);시설 고급화 (좌석·음향·스크린 등)",""
"2026/06/02 6:16:13 오후 GMT+9","남성","20대","경기/인천","1개 구독","있다(다음 질문으로)","2~3회","연인","티켓 가격이 부담스러워서","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","티켓 가격 인하 또는 할인 혜택 강화",""
"2026/06/02 6:17:16 오후 GMT+9","남성","10대","경기/인천","구독 안 함","있다(다음 질문으로)","2~3회","가족","집에서 OTT로 편리하게 볼 수 있어서;함께 갈 사람이 없어서","그렇지 않다","전혀 그렇지 않다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇다","그렇지 않다","매우 그렇다","티켓 가격 인하 또는 할인 혜택 강화;이벤트·특별 상영 프로그램 강화;식음료 가격 합리화",""
"2026/06/02 6:18:25 오후 GMT+9","남성","20대","충청권 (대전, 세종, 충남, 충북)","1개 구독","있다(다음 질문으로)","2~3회","혼자;가족","티켓 가격이 부담스러워서;상영중인 영화 중 보고 싶은 영화가 없어서","그렇지 않다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","이벤트·특별 상영 프로그램 강화",""
"2026/06/02 6:20:40 오후 GMT+9","남성","20대","충청권 (대전, 세종, 충남, 충북)","1개 구독","없다(7번 문항으로)","","가족;기타","극장까지 이동이 번거로워서","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","그렇지 않다","보통이다","티켓 가격 인하 또는 할인 혜택 강화",""
"2026/06/02 6:21:37 오후 GMT+9","여성","20대","충청권 (대전, 세종, 충남, 충북)","2개 이상 구독","있다(다음 질문으로)","2~3회","혼자;친구;기타","티켓 가격이 부담스러워서;집에서 OTT로 편리하게 볼 수 있어서;상영중인 영화 중 보고 싶은 영화가 없어서","보통이다","그렇다","전혀 그렇지 않다","그렇다","그렇다","그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","그렇다","티켓 가격 인하 또는 할인 혜택 강화;독점·선공개 콘텐츠 확대;이벤트·특별 상영 프로그램 강화",""
"2026/06/02 6:26:18 오후 GMT+9","남성","20대","경기/인천","구독 안 함","있다(다음 질문으로)","4~6회","연인","티켓 가격이 부담스러워서","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","이벤트·특별 상영 프로그램 강화",""
